Run	Year	Species	pSpp	Area
1	80	 CBb	0.000039	15.250000
1	80	 CE	0.000050	19.500000
1	80	 CS	0.000058	22.500000
1	85	 Bb	0.081159	31692.000000
1	85	 BbPe	0.078190	30532.750000
1	85	 BbE	0.016731	6533.500000
1	85	 BbPg	0.001437	561.250000
1	85	 BbS	0.186842	72960.750000
1	85	 Pe	0.004392	1715.000000
1	85	 PeBb	0.056262	21970.000000
1	85	 PeE	0.006433	2512.000000
1	85	 PePg	0.002969	1159.500000
1	85	 PeS	0.001205	470.500000
1	85	 E	0.138184	53960.250000
1	85	 EBb	0.032045	12513.250000
1	85	 EPe	0.019134	7471.750000
1	85	 EPg	0.032614	12735.500000
1	85	 ES	0.044583	17409.250000
1	85	 EMe	0.006971	2722.000000
1	85	 EC	0.000066	25.750000
1	85	 Pg	0.030191	11789.500000
1	85	 PgBb	0.006487	2533.000000
1	85	 PgPe	0.008773	3425.750000
1	85	 PgE	0.186103	72672.250000
1	85	 PgMe	0.000104	40.750000
1	85	 PgS	0.000021	8.250000
1	85	 S	0.018939	7395.500000
1	85	 SBb	0.023654	9236.750000
1	85	 SPe	0.010013	3910.000000
1	85	 SE	0.004353	1699.750000
1	85	 SPg	0.000164	64.000000
1	85	 SMe	0.000077	30.250000
1	85	 SC	0.000050	19.500000
1	85	 Me	0.000133	52.000000
1	85	 MeE	0.001499	585.500000
1	85	 MePg	0.000064	25.000000
1	85	 C	0.000012	4.500000
1	85	 CBb	0.000039	15.250000
1	85	 CE	0.000050	19.500000
1	85	 CS	0.000058	22.500000
1	90	 Bb	0.081159	31692.000000
1	90	 BbPe	0.078190	30532.750000
1	90	 BbE	0.016731	6533.500000
1	90	 BbPg	0.001437	561.250000
1	90	 BbS	0.186842	72960.750000
1	90	 Pe	0.004392	1715.000000
1	90	 PeBb	0.056262	21970.000000
1	90	 PeE	0.006433	2512.000000
1	90	 PePg	0.002969	1159.500000
1	90	 PeS	0.001205	470.500000
1	90	 E	0.138184	53960.250000
1	90	 EBb	0.032045	12513.250000
1	90	 EPe	0.019134	7471.750000
1	90	 EPg	0.032614	12735.500000
1	90	 ES	0.044583	17409.250000
1	90	 EMe	0.006971	2722.000000
1	90	 EC	0.000066	25.750000
1	90	 Pg	0.030191	11789.500000
1	90	 PgBb	0.006487	2533.000000
1	90	 PgPe	0.008773	3425.750000
1	90	 PgE	0.186103	72672.250000
1	90	 PgMe	0.000104	40.750000
1	90	 PgS	0.000021	8.250000
1	90	 S	0.018939	7395.500000
1	90	 SBb	0.023654	9236.750000
1	90	 SPe	0.010013	3910.000000
1	90	 SE	0.004353	1699.750000
1	90	 SPg	0.000164	64.000000
1	90	 SMe	0.000077	30.250000
1	90	 SC	0.000050	19.500000
1	90	 Me	0.000133	52.000000
1	90	 MeE	0.001499	585.500000
1	90	 MePg	0.000064	25.000000
1	90	 C	0.000012	4.500000
1	90	 CBb	0.000039	15.250000
1	90	 CE	0.000050	19.500000
1	90	 CS	0.000058	22.500000
1	95	 Bb	0.081159	31692.000000
1	95	 BbPe	0.078190	30532.750000
1	95	 BbE	0.016731	6533.500000
1	95	 BbPg	0.001437	561.250000
1	95	 BbS	0.186842	72960.750000
1	95	 Pe	0.004392	1715.000000
1	95	 PeBb	0.056262	21970.000000
1	95	 PeE	0.006433	2512.000000
1	95	 PePg	0.002969	1159.500000
1	95	 PeS	0.001205	470.500000
1	95	 E	0.138184	53960.250000
1	95	 EBb	0.032045	12513.250000
